,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
2672,,Denmark,2020-02-27T16:23:03,1.0,0.0,0.0,,
2769,,Denmark,2020-02-29T18:03:05,3.0,0.0,0.0,,
3018,,Denmark,2020-03-01T23:33:03,4.0,0.0,0.0,56.2639,9.5018
3157,,Denmark,2020-03-03T15:13:26,6.0,0.0,0.0,56.2639,9.5018
3473,,Denmark,2020-03-04T00:03:15,10.0,0.0,0.0,56.2639,9.5018
3830,,Denmark,2020-03-06T13:03:12,23.0,0.0,1.0,56.2639,9.5018
4056,,Denmark,2020-03-08T14:53:11,35.0,0.0,1.0,56.2639,9.5018
4293,,Denmark,2020-03-09T18:13:11,90.0,0.0,1.0,56.2639,9.5018
4544,,Denmark,2020-03-10T17:33:34,262.0,0.0,1.0,56.2639,9.5018
4744,Denmark,Denmark,2020-03-11T22:13:13,442.0,0.0,1.0,56.2639,9.5018
4954,Denmark,Denmark,2020-03-12T09:53:06,615.0,0.0,1.0,56.2639,9.5018
5107,Faroe Islands,Denmark,2020-03-11T20:53:02,2.0,0.0,0.0,61.8926,-6.9118
5238,Denmark,Denmark,2020-03-11T20:00:00,801.0,0.0,1.0,56.2639,9.5018
5288,Faroe Islands,Denmark,2020-03-11T20:00:00,3.0,0.0,0.0,61.8926,-6.9118
5401,Denmark,Denmark,2020-03-14T22:13:32,827.0,1.0,1.0,56.2639,9.5018
5544,Faroe Islands,Denmark,2020-03-14T16:33:03,9.0,0.0,0.0,61.8926,-6.9118
